rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev
15,ARI,21,109,666818,Luis Frias,16,1.14,76.1,58,26,24,29,101,1,229,309,,2.83,0,0,0,6,4,ALL (2)
15,COL,23,115,624418,Ryan Castellani,10,1.94,43.1,54,45,40,30,47,14,130,216,,8.31,0,0,0,2,5,AAA
15,PHI,23,143,661440,Mauricio Llovera,14,1.35,65.1,60,35,33,28,72,7,196,285,,4.55,0,0,0,3,4,AA
15,ANA,21,108,669735,Chris Rodriguez,3,1.07,9.1,6,0,0,4,13,0,28,36,,0.00,0,0,0,0,0,A(Adv)
15,TB,20,139,686751,Seth Johnson,7,1.31,13.0,15,4,4,2,10,0,39,55,,2.77,0,0,0,0,0,ALL (2)
15,CWS,18,145,686643,Andrew Dalquist,3,1.33,3.0,2,0,0,2,2,0,9,13,,0.00,0,0,0,0,0,ROK
15,WSH,25,,664069,Ben Braymer,26,1.39,139.0,137,78,70,56,116,25,417,599,,4.53,0,0,0,4,10,ALL (2)
15,NYY,23,147,656793,Nick Nelson,18,1.28,89.2,72,29,28,43,114,6,269,378,,2.81,0,0,0,8,3,ALL (3)
16,CWS,21,145,663455,Konnor Pilkington,25,1.27,129.0,114,62,59,50,138,9,387,543,,4.12,0,0,0,5,9,ALL (2)
16,NYM,23,121,663894,Ryley Gilliam,29,1.55,38.2,42,26,26,18,56,4,116,174,,6.05,3,2,5,5,0,ALL (3)
16,BOS,22,111,664687,Durbin Feltman,43,1.42,51.1,42,31,30,31,54,8,154,223,,5.26,5,2,6,2,3,AA
16,ATL,24,144,641425,Thomas Burrows,43,1.25,57.0,47,32,28,24,63,5,171,244,,4.42,7,5,2,2,4,ALL (2)
16,COL,21,115,666207,Riley Pint,21,2.43,17.2,12,17,17,31,23,0,53,98,,8.66,0,4,1,0,1,A(Full)
16,CHC,23,112,676265,Cory Abbott,26,1.12,146.2,112,57,49,52,166,15,440,598,,3.01,0,0,0,8,8,AA
16,TOR,24,141,643615,T.J. Zeuch,17,1.32,95.0,86,44,41,39,56,7,285,409,,3.88,0,0,0,4,3,ALL (3)
16,ARI,22,109,686753,Drey Jameson,8,1.97,11.2,14,8,8,9,12,1,35,58,,6.17,0,0,0,0,0,A(Short)
16,SD,19,135,676282,Joey Cantillo,22,0.93,111.2,70,33,28,34,144,5,335,432,,2.26,0,0,0,10,4,ALL (2)
16,BAL,23,110,667421,Blaine Knight,23,1.30,110.1,100,69,59,43,89,11,331,480,,4.81,0,0,0,4,12,ALL (2)
16,KC,22,118,680742,Jonathan Bowlan,26,0.99,146.0,121,55,51,23,150,9,438,572,,3.14,1,0,0,11,5,ALL (2)
16,PHI,25,143,608344,Cole Irvin,29,1.40,128.1,154,73,67,26,93,20,385,557,,4.70,1,0,0,8,2,ALL (2)
16,TEX,22,140,663465,Kolby Allard,27,1.40,148.1,158,75,65,49,135,16,445,629,,3.94,0,0,0,11,5,ALL (3)
